customerID,tenure_band,spend_tier,is_at_risk,revenue_at_risk
7590-VHVEG,0-10,10-30,0,0.0
5575-GNVDE,30-40,50-70,0,0.0
3668-QPYBK,0-10,50-70,0,0.0
7795-CFOCW,40-50,30-50,0,0.0
9237-HQITU,0-10,70-90,0,0.0
9305-CDSKC,0-10,90+,0,0.0
1452-KIOVK,20-30,70-90,0,0.0
6713-OKOMC,10-20,10-30,0,0.0
7892-POOKP,20-30,90+,0,0.0
6388-TABGU,50+,50-70,0,0.0
9763-GRSKD,10-20,30-50,0,0.0
7469-LKBCI,10-20,10-30,0,0.0
8091-TTVAX,50+,90+,0,0.0
0280-XJGEX,40-50,90+,0,0.0
5129-JLPIS,20-30,90+,0,0.0
3655-SNQYZ,50+,90+,0,0.0
8191-XWSZG,50+,10-30,0,0.0
9959-WOFKT,50+,90+,0,0.0
4190-MFLUW,10-20,50-70,0,0.0
4183-MYFRB,20-30,90+,0,0.0
8779-QRDMV,0-10,30-50,0,0.0
1680-VDCWW,10-20,10-30,0,0.0
1066-JKSGK,0-10,10-30,0,0.0
3638-WEABW,50+,50-70,0,0.0
6322-HRPFA,40-50,50-70,0,0.0
6865-JZNKO,30-40,50-70,0,0.0
6467-CHFZW,40-50,90+,0,0.0
8665-UTDHZ,0-10,30-50,0,0.0
5248-YGIJN,50+,90+,0,0.0
8773-HHUOZ,10-20,50-70,0,0.0
3841-NFECX,50+,90+,0,0.0
4929-XIHVW,0-10,90+,0,0.0
6827-IEAUQ,20-30,50-70,0,0.0
7310-EGVHZ,0-10,10-30,0,0.0
3413-BMNZE,0-10,30-50,0,0.0
6234-RAAPL,50+,90+,0,0.0
6047-YHPVI,0-10,50-70,0,0.0
6572-ADKRS,40-50,70-90,0,0.0
5380-WJKOV,30-40,90+,0,0.0
8168-UQWWF,10-20,90+,0,0.0
8865-TNMNX,10-20,30-50,0,0.0
9489-DEDVP,50+,50-70,0,0.0
9867-JCZSP,10-20,10-30,0,0.0
4671-VJLCL,50+,70-90,0,0.0
4080-IIARD,10-20,70-90,0,0.0
3714-NTNFO,40-50,70-90,0,0.0
5948-UJZLF,0-10,30-50,0,0.0
7760-OYPDY,0-10,70-90,0,0.0
7639-LIAYI,50+,70-90,0,0.0
2954-PIBKO,50+,50-70,0,0.0
8012-SOUDQ,40-50,90+,0,0.0
9420-LOJKX,10-20,90+,0,0.0
6575-SUVOI,20-30,50-70,0,0.0
7495-OOKFY,0-10,70-90,0,0.0
4667-QONEA,50+,70-90,0,0.0
1658-BYGOY,10-20,90+,0,0.0
8769-KKTPH,50+,90+,0,0.0
5067-XJQFU,50+,90+,0,0.0
3957-SQXML,30-40,10-30,0,0.0
5954-BDFSG,50+,90+,0,0.0
0434-CSFON,40-50,90+,0,0.0
1215-FIGMP,50+,70-90,0,0.0
0526-SXDJP,50+,30-50,0,0.0
0557-ASKVU,10-20,50-70,0,0.0
5698-BQJOH,0-10,90+,0,0.0
5122-CYFXA,0-10,70-90,0,0.0
8627-ZYGSZ,40-50,70-90,0,0.0
3410-YOQBQ,30-40,70-90,0,0.0
3170-NMYVV,50+,10-30,0,0.0
7410-OIEDU,10-20,70-90,0,0.0
2273-QCKXA,0-10,30-50,0,0.0
0731-EBJQB,50+,10-30,0,0.0
1891-QRQSA,50+,90+,0,0.0
8028-PNXHQ,50+,10-30,0,0.0
5630-AHZIL,0-10,50-70,0,0.0
2673-CXQEU,50+,90+,0,0.0
6416-JNVRK,40-50,50-70,0,0.0
5590-ZSKRV,0-10,50-70,0,0.0
0191-ZHSKZ,30-40,70-90,0,0.0
3887-PBQAO,40-50,10-30,0,0.0
5919-TMRGD,0-10,70-90,0,0.0
8108-UXRQN,10-20,50-70,0,0.0
9191-MYQKX,0-10,70-90,0,0.0
9919-YLNNG,40-50,90+,0,0.0
0318-ZOPWS,40-50,10-30,0,0.0
4445-ZJNMU,0-10,90+,0,0.0
4808-YNLEU,30-40,50-70,0,0.0
1862-QRWPE,40-50,10-30,0,0.0
2796-NNUFI,40-50,10-30,0,0.0
3016-KSVCP,20-30,30-50,0,0.0
4767-HZZHQ,30-40,70-90,0,0.0
2424-WVHPL,0-10,70-90,1,74.7
7233-PAHHL,50+,70-90,0,0.0
6067-NGCEU,50+,90+,0,0.0
9848-JQJTX,50+,90+,0,0.0
8637-XJIVR,10-20,70-90,0,0.0
9803-FTJCG,50+,50-70,0,0.0
0278-YXOOG,0-10,10-30,0,0.0
3212-KXOCR,50+,10-30,0,0.0
4598-XLKNJ,20-30,90+,0,0.0
6380-ARCEH,0-10,10-30,0,0.0
3679-XASPY,0-10,10-30,0,0.0
7123-WQUHX,30-40,90+,0,0.0
5386-THSLQ,50+,30-50,0,0.0
3192-NQECA,50+,90+,0,0.0
