customerID,Contract,tenure,tenure_band,InternetService,PaymentMethod,MonthlyCharges,is_at_risk,revenue_at_risk
2424-WVHPL,Month-to-month,1,0-10,Fiber optic,Electronic check,74.7,1,74.7
3071-VBYPO,Month-to-month,3,0-10,Fiber optic,Electronic check,89.85,1,89.85
4482-EWFMI,Month-to-month,2,0-10,Fiber optic,Electronic check,69.7,1,69.7
0221-WMXNQ,Month-to-month,4,0-10,Fiber optic,Electronic check,75.35,1,75.35
4847-TAJYI,Month-to-month,6,0-10,Fiber optic,Electronic check,89.35,1,89.35
8266-VBFQL,Month-to-month,4,0-10,Fiber optic,Electronic check,90.4,1,90.4
2799-ARNLO,Month-to-month,5,0-10,Fiber optic,Electronic check,69.35,1,69.35
5701-YVSVF,Month-to-month,11,10-20,Fiber optic,Electronic check,82.9,1,82.9
0021-IKXGC,Month-to-month,1,0-10,Fiber optic,Electronic check,72.1,1,72.1
4115-NZRKS,Month-to-month,7,0-10,Fiber optic,Electronic check,89.15,1,89.15
8734-DKSTZ,Month-to-month,10,10-20,Fiber optic,Electronic check,85.95,1,85.95
5168-MSWXT,Month-to-month,8,0-10,Fiber optic,Electronic check,94.75,1,94.75
1452-VOQCH,Month-to-month,1,0-10,Fiber optic,Electronic check,75.1,1,75.1
6705-LXORM,Month-to-month,5,0-10,Fiber optic,Electronic check,70.05,1,70.05
4234-XTNEA,Month-to-month,2,0-10,Fiber optic,Electronic check,79.95,1,79.95
5348-CAGXB,Month-to-month,12,10-20,Fiber optic,Electronic check,89.55,1,89.55
2501-XWWTZ,Month-to-month,11,10-20,Fiber optic,Electronic check,70.2,1,70.2
8270-RKSAP,Month-to-month,9,0-10,Fiber optic,Electronic check,70.5,1,70.5
6786-OBWQR,Month-to-month,5,0-10,Fiber optic,Electronic check,80.85,1,80.85
6923-JHPMP,Month-to-month,2,0-10,Fiber optic,Electronic check,80.45,1,80.45
0139-IVFJG,Month-to-month,2,0-10,Fiber optic,Electronic check,90.35,1,90.35
2123-AGEEN,Month-to-month,7,0-10,Fiber optic,Electronic check,84.35,1,84.35
6630-UJZMY,Month-to-month,4,0-10,Fiber optic,Electronic check,83.25,1,83.25
8584-KMVXD,Month-to-month,8,0-10,Fiber optic,Electronic check,75.6,1,75.6
5879-SESNB,Month-to-month,11,10-20,Fiber optic,Electronic check,75.25,1,75.25
8242-SOQUO,Month-to-month,5,0-10,Fiber optic,Electronic check,84.7,1,84.7
0455-XFASS,Month-to-month,3,0-10,Fiber optic,Electronic check,69.55,1,69.55
7439-DKZTW,Month-to-month,1,0-10,Fiber optic,Electronic check,80.55,1,80.55
7363-QTBIW,Month-to-month,9,0-10,Fiber optic,Electronic check,79.75,1,79.75
6077-BDPXA,Month-to-month,3,0-10,Fiber optic,Electronic check,70.15,1,70.15
4291-SHSBH,Month-to-month,7,0-10,Fiber optic,Electronic check,69.55,1,69.55
4741-WWJQZ,Month-to-month,2,0-10,Fiber optic,Electronic check,80.15,1,80.15
1251-STYSZ,Month-to-month,4,0-10,Fiber optic,Electronic check,80.25,1,80.25
6198-ZFIOJ,Month-to-month,5,0-10,Fiber optic,Electronic check,75.6,1,75.6
2984-AFWNC,Month-to-month,3,0-10,Fiber optic,Electronic check,95.4,1,95.4
9957-YODKZ,Month-to-month,6,0-10,Fiber optic,Electronic check,80.8,1,80.8
3223-DWFIO,Month-to-month,4,0-10,Fiber optic,Electronic check,69.35,1,69.35
7321-VGNKU,Month-to-month,2,0-10,Fiber optic,Electronic check,70.35,1,70.35
1219-NNDDO,Month-to-month,9,0-10,Fiber optic,Electronic check,76.85,1,76.85
0793-TWELN,Month-to-month,4,0-10,Fiber optic,Electronic check,80.15,1,80.15
4854-CIDCF,Month-to-month,3,0-10,Fiber optic,Electronic check,73.85,1,73.85
6435-SRWBJ,Month-to-month,5,0-10,Fiber optic,Electronic check,82.75,1,82.75
7398-SKNQZ,Month-to-month,3,0-10,Fiber optic,Electronic check,94.9,1,94.9
5091-HFAZW,Month-to-month,2,0-10,Fiber optic,Electronic check,91.15,1,91.15
3030-YDNRM,Month-to-month,8,0-10,Fiber optic,Electronic check,74.85,1,74.85
3318-NMQXL,Month-to-month,3,0-10,Fiber optic,Electronic check,92.0,1,92.0
2018-QKYGT,Month-to-month,1,0-10,Fiber optic,Electronic check,81.05,1,81.05
1960-UYCNN,Month-to-month,10,10-20,Fiber optic,Electronic check,95.25,1,95.25
8775-ERLNB,Month-to-month,1,0-10,Fiber optic,Electronic check,74.3,1,74.3
8087-LGYHQ,Month-to-month,9,0-10,Fiber optic,Electronic check,94.05,1,94.05
7206-PQBBZ,Month-to-month,11,10-20,Fiber optic,Electronic check,70.2,1,70.2
1391-UBDAR,Month-to-month,11,10-20,Fiber optic,Electronic check,72.9,1,72.9
2038-OEQZH,Month-to-month,4,0-10,Fiber optic,Electronic check,86.05,1,86.05
3496-LFSZU,Month-to-month,4,0-10,Fiber optic,Electronic check,70.5,1,70.5
1393-IMKZG,Month-to-month,1,0-10,Fiber optic,Electronic check,95.85,1,95.85
4813-HQMGZ,Month-to-month,8,0-10,Fiber optic,Electronic check,90.25,1,90.25
7245-NIIWQ,Month-to-month,3,0-10,Fiber optic,Electronic check,69.85,1,69.85
7928-VJYAB,Month-to-month,11,10-20,Fiber optic,Electronic check,90.6,1,90.6
8739-XNIKG,Month-to-month,5,0-10,Fiber optic,Electronic check,84.0,1,84.0
2789-HQBOU,Month-to-month,3,0-10,Fiber optic,Electronic check,80.35,1,80.35
9603-OAIHC,Month-to-month,1,0-10,Fiber optic,Electronic check,70.05,1,70.05
1475-VWVDO,Month-to-month,7,0-10,Fiber optic,Electronic check,74.9,1,74.9
1197-BVMVG,Month-to-month,4,0-10,Fiber optic,Electronic check,74.45,1,74.45
8622-ZLFKO,Month-to-month,6,0-10,Fiber optic,Electronic check,90.75,1,90.75
4927-WWOOZ,Month-to-month,2,0-10,Fiber optic,Electronic check,91.45,1,91.45
8325-QRPZR,Month-to-month,7,0-10,Fiber optic,Electronic check,75.15,1,75.15
2262-SLNVK,Month-to-month,1,0-10,Fiber optic,Electronic check,70.1,1,70.1
3904-UKFRE,Month-to-month,4,0-10,Fiber optic,Electronic check,80.1,1,80.1
6645-MXQJT,Month-to-month,2,0-10,Fiber optic,Electronic check,97.1,1,97.1
9093-FPDLG,Month-to-month,11,10-20,Fiber optic,Electronic check,94.2,1,94.2
7517-LDMPS,Month-to-month,12,10-20,Fiber optic,Electronic check,84.6,1,84.6
1658-TJVOA,Month-to-month,6,0-10,Fiber optic,Electronic check,74.1,1,74.1
5542-TBBWB,Month-to-month,1,0-10,Fiber optic,Electronic check,69.9,1,69.9
3987-KQDDU,Month-to-month,9,0-10,Fiber optic,Electronic check,75.6,1,75.6
0258-NOKBL,Month-to-month,3,0-10,Fiber optic,Electronic check,90.4,1,90.4
4770-UEZOX,Month-to-month,2,0-10,Fiber optic,Electronic check,74.75,1,74.75
0315-LVCRK,Month-to-month,11,10-20,Fiber optic,Electronic check,84.8,1,84.8
6860-YRJZP,Month-to-month,9,0-10,Fiber optic,Electronic check,74.05,1,74.05
